,screen_name,statuses_count
575,annacarlson88,54.0
576,bellaphothisene,40912.0
577,leximaeleach,7012.0
580,Sallygal1718,14031.0
582,LoriNFiscus,3315.0
587,grandote68,663.0
588,coachhack12,2241.0
597,kaw1977,29297.0
599,jmurdoc2,6630.0
602,Deez202Nutz,2205.0
605,lupexotwod23,8713.0
606,brittanik93,3081.0
608,cheyennesmith_,3325.0
612,lilasskass,51923.0
616,TheOGHub,18736.0
617,studiomayer,12791.0
619,therealXL1991,3904.0
620,Pocketasian15,6420.0
622,kathyamorton,1540.0
623,timmyohlund,274.0
626,TorreCampise,7148.0
632,GYPSYSOULGUY75,206.0
635,98Kaela,5019.0
636,LatenWayer,4762.0
640,StaabAlex,24893.0
646,BomberWho,22380.0
653,ariannahaines,7226.0
654,kiirraa1007,1613.0
661,NickRexilius25,3054.0
664,drenyeart,4411.0
666,Vc_Hitman,313.0
671,VivaldoBella,268.0
676,blindbasser81,289.0
677,just_jake1994,6024.0
680,veronicaaaoxo,11107.0
682,kayliecurry,1258.0
690,mitchell2126,63178.0
692,RashadWebb4,67.0
693,kenzie_k_138,755.0
695,BillyMueller1,16814.0
698,dbrown_56,5058.0
704,mrider11,10438.0
706,caryknox03,1059.0
708,meganjo_13,1510.0
713,Joce__cruz,4410.0
717,hollyspangler,4879.0
721,rhysabbasi,3008.0
725,Its_Miss_Ashley,16073.0
728,schwonk_,4214.0
731,kh33668,1613.0
735,crabriela,23832.0
737,MatthewCisler,8802.0
738,MaryGrote12,12.0
741,jazminxo__,5569.0
742,The_PaceG,2948.0
746,paul12knapp,2369.0
748,ShawnCraig,3268.0
751,da_johnson_87,469.0
755,jihadbruh,6293.0
764,AliceaRockey,25.0
766,shmalexia,12862.0
772,GeeOrville,5181.0
779,TriadKnights,5193.0
780,FredButt6,4820.0
781,sweetlikeemily,25178.0
783,blueburie,6451.0
785,misscharlotte80,1101.0
787,siaras24,2901.0
788,yamaicanm3happy,2064.0
789,Runtillyou_drop,143.0
792,JonathanFacialE,4800.0
799,HalloweenMov,43.0
800,kaminosabredart,5072.0
803,robericorral1,44.0
805,mariseewl,24599.0
809,ashbashbaby15,1065.0
810,MikaylaJMurray,912.0
811,kevinhoogeveen,3841.0
817,hawksrule20101,4138.0
821,Prophetx15,11891.0
822,kevinyarger,1804.0
824,TheKayCheck,4640.0
826,LexiiReign,32030.0
827,Devastant1971,1041.0
834,MarcosLopez4598,127.0
838,saul_rubio10,8802.0
845,conneezyy,10428.0
846,emalee__jo,3433.0
854,YM_Dawgg,23151.0
858,virginiat45,515.0
877,AntoniaRendon,30944.0
878,Maggie_Moo19,217.0
882,CPTheatre,3129.0
883,CoachNebs,13493.0
884,ilikejuiceboxes,3014.0
887,MadMadamLiz,1385.0
894,perez_chris5,8456.0
897,SheridanPipkens,1308.0
904,_kyleeluce,2445.0
905,_jerri__,2850.0
907,CoachHansen05,24318.0
909,marjraguso,27261.0
912,groovee65,307.0
917,LilMoEfrmtheglO,40936.0
918,calliechampley,4161.0
924,bea_is_awesome_,20522.0
926,emwinn2,4312.0
928,ghostdawg8893,6203.0
929,SydneyWalker01,1326.0
933,NickolasGrazi,6491.0
935,Damione66,238.0
939,shelbyexotics,332.0
943,OhSnapsItsShaq,155442.0
946,wmbthomasjr,1280.0
947,breadough,35483.0
949,Sunny119,403.0
951,BeingMeir,18604.0
958,SnellZachary,1672.0
959,jozay85,17304.0
960,weekendatbrodys,13428.0
970,BeckyRowe13,2028.0
971,madasrabbits14,519.0
972,LuchaLibearTV,3173.0
975,mayfieldanielle,4618.0
980,hclcsolutions,185.0
981,lt_jaylarose8,206.0
984,desibellesenpai,27728.0
986,DebRoyChandi,21710.0
987,CampisiChar,23993.0
988,Me_No_Careeeeee,38357.0
996,StaciSchu,5522.0
998,OCLDiaz,79037.0
1000,Olson35Collin,4114.0
1009,Todd_E_Anderson,19961.0
1015,Princesskayy365,24413.0
1021,TrulyHeidiHenry,11394.0
1024,angelsdiamandis,81426.0
1027,chikago12,10854.0
1030,CatSratchFever,304.0
1035,Keewalabear,1394.0
1036,chazerowell34,1319.0
1041,Mr_Monokuba,6600.0
1042,colonialdude,230032.0
1049,GabrielMoralesB,22328.0
1051,itsabbymags,52070.0
1052,rubymagic,76008.0
1061,astrobianca,57953.0
1062,MarieeeJulieee,26205.0
1063,RayvenVelaz_,846.0
1064,WashSquareGirl,90839.0
1066,Brianhipp,6361.0
1068,jadenmu_,9400.0
1071,Bigwood78,3370.0
1075,Lellybean16,21225.0
1078,CoachDB_309,4392.0
1079,bmz1222,2339.0
1085,JulkaAkshay,2537.0
1088,3windsfarm,143.0
1091,vicwag05,223.0
1092,Dejaa_vu1,1577.0
1096,Maddy_H_,290.0
1099,CodySloan28,289.0
1112,Crying4Cody,13643.0
1113,EmAncientOne,527.0
1118,Jaxgirl6,608.0
1123,emily_weber3,569.0
1126,Diegopaco8,3200.0
1132,Dbl_SCoop,2531.0
1134,AlexandraA_Soto,5549.0
1135,emmamckillipp,321.0
1136,DanXIXShay,16071.0
1140,quanaden_,242.0
1143,KingApe__,10436.0
1149,efto600,1353.0
1154,AceOverton,16936.0
1155,wompdog43,10107.0
1161,JoshEsh22,1405.0
1162,lizmendez780,18300.0
1167,ThatBowTieBitch,7027.0
1171,TBlalark,368.0
1172,bela____g,44586.0
1185,ajziemann,15341.0
1196,mreiter_,49861.0
1199,same_weather,10609.0
1204,zedmilse,21063.0
1213,skylightxo,18281.0
1218,kaydrabui,172.0
1227,Thiago_Adrian18,183.0
1232,JuniorPuentes05,616.0
1239,alexiscarter015,487.0
1242,tayhuff05,762.0
1249,baagman,1362.0
1250,laura_tieffel,27901.0
1252,BillMor10337419,1513.0
1255,Vorked,30819.0
1257,iembot_lsx,122808.0
1260,jonnyroobs,10450.0
1263,r6265,4583.0
1264,genesisfix07,13642.0
1267,BombayGuillen,40050.0
1269,SagesAthletics,3896.0
1270,DanWill00988481,3246.0
1272,LaurenRainson,16556.0
1276,mark_hruska,1754.0
1279,profitdare,3913.0
1281,FiveFelineFarm,2944.0
1284,girl_agronomist,3278.0
1285,JasonDanner71,3664.0
1293,LoriPolverini,791.0
1297,SirSpace6,98153.0
1299,ScottSchmaren,4198.0
1305,JeffreyDugan6,290.0
1306,cubfan0213,917.0
1307,shawn_0917,1524.0
1310,_AuroraIL,33029.0
1311,SaintCharlesIL,28276.0
1312,wishEMT,6147.0
1315,_PeoriaIL,33849.0
1316,honestteeah1,2738.0
1317,Star1055,35741.0
1318,christianjevans,76451.0
1320,PanamaJacksGym,1144.0
1324,JasonTran,22631.0
1329,JamesBiever,6071.0
1331,STCEPLTW,889.0
1337,shadelaw,12407.0
1338,APPROVEMAN,36856.0
1345,EndiroCoffee,12044.0
1349,Free2BMia,21169.0
1350,CubswinWS_2016,75.0
1354,JoJoMorr1231,3044.0
1356,ChrisGeelhart,549.0
1357,IAmCindaB,61785.0
1360,wshanefrederick,2702.0
1361,TrainWDonovan,2105.0
1365,savisavs__,6806.0
1367,peoriapiper,5169.0
1370,CurtisDSnyder,9469.0
1373,KZarate1081,3129.0
1377,xo_vbabyyy,6486.0
1378,talon788,5162.0
1379,michaelhsw7,15153.0
1383,Flowers22Jess,123.0
1385,SukaloTracy,2673.0
1388,BoeYeager,428.0
1389,robbyscotthill,6969.0
1391,WVCWsoccer,121.0
1398,martymaas49,534.0
1400,Nikejordanlee,20475.0
1403,lifeastyler00,633.0
1404,coachkarenwiley,2744.0
1407,nblanken,772.0
1408,Mkelly1972,1741.0
1409,freebeerAustin,13954.0
1413,Davidspeaks4u,297.0
1415,SpanisHarterMS,1419.0
1417,ajean92,2747.0
1428,RFoes,8003.0
1430,GeorgieGuy,1422.0
1432,iMilesPrice,11502.0
1434,ty_the_hunter,16272.0
1436,KHS_Knights,3299.0
1438,thorpus,57969.0
1441,DanielEGonzz,4741.0
1443,farmer_matt97,494.0
1445,krohoe1,1614.0
1456,MalcyGroves1990,18028.0
1458,danleja,1070.0
1461,Nixit2424,2334.0
1467,Cofloo,87619.0
1468,a_millie97,114541.0
1469,gtc,8840.0
1470,PrairieFruits,1485.0
1472,Woodyyx3,35698.0
1475,llsmith428,678.0
1476,WmNoellePatton,885.0
1478,im_jaylin34,36786.0
1483,SandyKlaine,2257.0
1488,AbreyRicketts,1632.0
1505,_alexishunter_,7913.0
